data_index_,temperature,solar_ghi
2020-01-01 22:45:00+00:00,275.2651672363281,0.0
2020-01-01 23:00:00+00:00,275.3050842285156,0.0
2020-01-01 23:15:00+00:00,275.3506774902344,0.0
2020-01-01 23:30:00+00:00,275.3962707519531,0.0
2020-01-01 23:45:00+00:00,275.44183349609375,0.0
2020-01-02 00:00:00+00:00,275.4866943359375,0.0
2020-01-02 00:15:00+00:00,275.5308837890625,0.0
2020-01-02 00:30:00+00:00,275.5750732421875,0.0
2020-01-02 00:45:00+00:00,275.6192626953125,0.0
2020-01-02 01:00:00+00:00,275.325439453125,0.0
2020-01-02 01:15:00+00:00,275.36358642578125,0.0
2020-01-02 01:30:00+00:00,275.4017333984375,0.0
2020-01-02 01:45:00+00:00,275.43988037109375,0.0
2020-01-02 02:00:00+00:00,275.4803161621094,0.0
2020-01-02 02:15:00+00:00,275.5229797363281,0.0
2020-01-02 02:30:00+00:00,275.565673828125,0.0
2020-01-02 02:45:00+00:00,275.60833740234375,0.0
2020-01-02 03:00:00+00:00,275.6558837890625,0.0
2020-01-02 03:15:00+00:00,275.7082214355469,0.0
2020-01-02 03:30:00+00:00,275.76055908203125,0.0
2020-01-02 03:45:00+00:00,275.81292724609375,0.0
2020-01-02 04:00:00+00:00,275.8711853027344,0.0
2020-01-02 04:15:00+00:00,275.9354553222656,0.0
2020-01-02 04:30:00+00:00,275.99969482421875,0.0
2020-01-02 04:45:00+00:00,276.06390380859375,0.0
2020-01-02 05:00:00+00:00,276.1258239746094,0.0
2020-01-02 05:15:00+00:00,276.1854248046875,0.0
2020-01-02 05:30:00+00:00,276.2450256347656,0.0
2020-01-02 05:45:00+00:00,276.30462646484375,0.0
2020-01-02 06:00:00+00:00,276.3663330078125,0.0
2020-01-02 06:15:00+00:00,276.43017578125,0.0
2020-01-02 06:30:00+00:00,276.4939880371094,0.0
2020-01-02 06:45:00+00:00,276.55780029296875,0.0
2020-01-02 07:00:00+00:00,276.6159362792969,0.0
2020-01-02 07:15:00+00:00,276.66839599609375,0.0
2020-01-02 07:30:00+00:00,276.7208557128906,0.006020000204443932
2020-01-02 07:45:00+00:00,276.7733154296875,0.7733640074729919
2020-01-02 08:00:00+00:00,276.8721008300781,5.351592063903809
2020-01-02 08:15:00+00:00,277.0172119140625,13.942225456237793
2020-01-02 08:30:00+00:00,277.1623229980469,28.807960510253906
2020-01-02 08:45:00+00:00,277.30743408203125,41.848106384277344
2020-01-02 09:00:00+00:00,277.4718322753906,52.692134857177734
2020-01-02 09:15:00+00:00,277.655517578125,60.376869201660156
2020-01-02 09:30:00+00:00,277.83917236328125,67.8740234375
2020-01-02 09:45:00+00:00,278.0228576660156,76.82784271240234
2020-01-02 10:00:00+00:00,278.1976623535156,84.36188507080078
2020-01-02 10:15:00+00:00,278.36358642578125,90.41214752197266
2020-01-02 10:30:00+00:00,278.5295104980469,94.69630432128906
2020-01-02 10:45:00+00:00,278.6954345703125,97.1858901977539
2020-01-02 11:00:00+00:00,278.8352966308594,98.18063354492188
2020-01-02 11:15:00+00:00,278.9490661621094,97.7535171508789
2020-01-02 11:30:00+00:00,279.0628356933594,96.546630859375
2020-01-02 11:45:00+00:00,279.1766052246094,94.6670150756836
2020-01-02 12:00:00+00:00,279.2682800292969,91.6383056640625
2020-01-02 12:15:00+00:00,279.33782958984375,87.53813171386719
2020-01-02 12:30:00+00:00,279.40740966796875,82.63849639892578
2020-01-02 12:45:00+00:00,279.4769592285156,77.01188659667969
2020-01-02 13:00:00+00:00,279.5170593261719,70.56024932861328
